Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0.363423999999906,1020,,,,-0.00517578125,0.00673828125,-0.98828125,0.20435216792598773,0.08950805005471212,19.984172860727266,-0.007581988797007319,0,0,0.15151979055069376,0,0,0,0,0.0466796875,,
0.3352094999998575,1024.9,,,,-0.0037109375,0.00634765625,-0.98994140625,0.2045594078231519,0.08905230883483675,19.98449845034609,-0.005795059706020968,0,0,0.11581119045273476,0,0,0,0,0.04609375,,
3.2121699999998206,1029.7999999999997,,,,-0.0033203125,0.00546875,-0.98896484375,0.20441746437820338,0.08941765693781659,19.98376042701508,-0.007664115957867949,0,0,0.15315781309332754,0,0,0,0,0.046875,,
6.1058402499998214,1034.7000000000003,,,,-0.02724609375,0.0115234375,-0.97626953125,0.2043965962783684,0.09018996936970303,19.97664818048916,-0.008293336639325338,832,414,0.1656736246191187,8.852225666178114,5641.399110709191,0.010189088056683091,0,0.06416015625,,
9.011683499999856,1039.6,,,,-0.02734375,0.01025390625,-0.97314453125,0.20428105675794545,0.08914763652033793,19.97691988149149,-0.007202848687958037,962,480,0.14389079297292012,10.260589253249732,7301.494184819641,0.00868866380861444,0,0.06162109375,,
11.827744999999833,1044.5,,,,-0.02685546875,0.01171875,-0.9716796875,0.2043498618980278,0.08926303110444084,19.975600751915827,-0.008715822876184866,1108,553,0.17410389431420445,11.84150901767248,6899.595553135342,0.007538123401065475,0,0.06796875,,
14.819916749999859,1049.4,,,,-0.02734375,0.01171875,-0.97685546875,0.2043985884228034,0.0895395354647881,19.975087744932704,-0.008780852711324519,1199,598,0.1753984011215236,12.810280622545402,7359.84843444198,0.0069897343626118685,0,0.09765625,,
17.743396749999867,1054.2999999999997,,,,-0.02998046875,0.01357421875,-0.97392578125,0.20426125937814815,0.08980097201136505,19.974323094872506,-0.007418910642284353,1328,664,0.14818779615081862,14.197514962152948,9945.06913075977,0.0063251558106878535,0,0.1314453125,,
20.621425999999836,1059.2000000000003,,,,-0.02412109375,0.00595703125,-0.97314453125,0.20424269613713145,0.0894428185373898,19.973020063668752,-0.00686388996487639,1408,704,0.13709288956895924,15.053323311024084,11450.385982531476,0.0059417335741999405,0,0.160546875,,
23.48151549999983,1064.1,,,,-0.02841796875,0.01455078125,-0.972265625,0.2043383635691069,0.0891369095140239,19.972386102745983,-0.006271293927422388,1488,744,0.1252528000549513,15.92517014719913,13076.801725716794,0.005597239717045875,0,0.15322265625,,
26.310028499999845,1069,,,,-0.02890625,0.012890625,-0.97861328125,0.20434923987655856,0.08937862682719484,19.971625257173585,-0.008001145966217812,1579,789,0.15979595811521258,16.891661049277854,10705.118138676606,0.005291292890373162,0,0.19345703125,,
29.190671249999827,1073.9,,,,-0.02822265625,0.01396484375,-0.97265625,0.2044264544249827,0.08967145700668076,19.970428538441396,-0.0077097049708717445,1678,839,0.15396620913424067,17.96278795953993,11985.258400469913,0.004992066313704064,0,0.0892578125,,
32.10895899999987,1078.7999999999997,,,,-0.02802734375,0.0111328125,-0.97275390625,0.20434609558030833,0.08960450521657033,19.968828739274393,-0.007294382017970785,1759,880,0.14566033913370652,18.82365075499462,13184.040060545336,0.004760215644181497,0,0.126171875,,
35.00187199999984,1083.7000000000003,,,,-0.01875,0.01025390625,-0.97783203125,0.20453361048847754,0.08993013015850422,19.96853247767161,-0.005813863659341187,1828,914,0.11609414158487938,19.57161358882531,17433.249203512147,0.004594920150316604,0,0.11171875,,
37.84815174999986,1088.6,,,,-0.0271484375,0.00908203125,-0.9736328125,0.20456528939103952,0.0892701824524012,19.96723860495001,-0.005623158780278097,1926,963,0.11227900109466978,20.63777634609875,18714.24526420785,0.004325594299549113,0,0.10126953125,,
40.71023399999983,1093.5,,,,-0.0283203125,0.01357421875,-0.973828125,0.2043220284190442,0.08914031276876046,19.966022330370222,-0.006791290900699925,2014,1007,0.13559507365879558,21.547995930094594,16309.986701952173,0.0041368363259312825,0,0.0763671875,,
43.63431449999983,1098.4,,,,-0.0318359375,0.0142578125,-0.97353515625,0.20438362811056582,0.09008555322774771,19.96515511864536,-0.006692165429922488,2070,1035,0.13361013707392316,22.155336628287287,16723.12864536867,0.004066090326394137,0,0.10673828125,,
46.517787249999856,1103.2999999999997,,,,-0.0470703125,0.027734375,-0.97880859375,0.20428493700362665,0.08925681268753961,19.96361525453324,-0.006486546465394703,2126,1063,0.1294947748787987,22.739598202571916,18013.59776635766,0.003925163490383434,0,0.0994140625,,
49.33675774999987,1108.2000000000003,,,,-0.02685546875,0.0109375,-0.97646484375,0.20438468854494554,0.08968592711906165,19.963341995888726,-0.0049880807084228635,2185,1092,0.09957879244246556,23.381698112275714,24880.882822776275,0.0038357331051976353,0,0.11875,,
52.25667674999984,1113.1,,,,-0.029296875,0.00966796875,-0.9787109375,0.204304359451923,0.0891952053362827,19.962135507833032,-0.006140098013449267,2275,1137,0.1225696258357657,24.329987036030982,21535.579768349806,0.0036660570828619026,0,0.09677734375,,
55.136908999999854,1118,,,,-0.029296875,0.01083984375,-0.9736328125,0.20436458384086736,0.08939040680925528,19.960717537603152,-0.007831480608516484,2352,1176,0.15632204142843448,25.16203680283825,16376.77994275128,0.0035526058543703396,0,0.08056640625,,
58.06843374999985,1122.9,,,,-0.030859375,0.0125,-0.973046875,0.2042990624299351,0.08922053443940785,19.960061320013313,-0.008932413878175923,2414,1207,0.17829153983992024,25.828869963827096,14853.34138113051,0.003454295286354737,0,0.090234375,,
60.94798149999988,1127.7999999999997,,,,-0.034375,0.0083984375,-0.971484375,0.20423960875825026,0.08940266241320391,19.958629805522,-0.007852601988912982,2472,1236,0.1567271183139243,26.43640223073832,16987.33404469792,0.003381796844377849,0,0.168359375,,
63.666399999999875,1132.7000000000003,,,,-0.0251953125,0.01279296875,-0.97275390625,0.20422174018977093,0.09006885653507143,19.95719119141728,-0.007159431401734749,2578,1289,0.1428818545587739,27.57548999900025,21035.06341089447,0.0032662696462874784,0,0.23037109375,,
66.56986349999985,1137.6,,,,-0.03134765625,0.009765625,-0.969921875,0.20421614516921777,0.08959920441131342,19.955729166129718,-0.007505272729534003,2647,1323,0.149773278123493,28.301413114301063,19485.39582677313,0.0031658932917502406,0,0.4361328125,,
69.4423622499998,1142.5,,,,-0.0720703125,0.00849609375,-0.96357421875,0.20421904371202243,0.08932417468582984,19.954305924336115,-0.006115743989508761,2696,1348,0.12203548230753984,28.826295902774074,24270.66228107372,0.0030986999252997265,0,0.45966796875,,
72.32828899999984,1147.4,,,,-0.0083984375,0.01103515625,-0.97822265625,0.20412252452286778,0.08896820529188541,19.95351902836937,-0.006644835783579622,2759,1379,0.13258802447885193,29.48435097608666,22690.543530496572,0.003017481437941667,0,0.6607421875,,
75.19232249999986,1152.2999999999997,,,,-0.0294921875,0.00947265625,-0.97392578125,0.20424194618067792,0.0897952301119646,19.95233103446891,-0.005642949579176109,2806,1403,0.11258995122811341,30.008845963006355,27080.988598935754,0.0029922929651879145,0,0.776171875,,
78.10664849999986,1157.2000000000003,,,,-0.0392578125,0.01376953125,-0.97197265625,0.20434779812111242,0.08972691684866428,19.95013500410105,-0.006887313934047666,2871,1436,0.13740305643706588,30.723977773715482,22912.38488394271,0.002920422064349557,0,0.32333984375,,
80.99091674999988,1162.1,,,,-0.02626953125,0.00966796875,-0.97470703125,0.20436710332134383,0.08970440912550139,19.94847341614628,-0.007424726542779081,2932,1466,0.14811183451004156,31.377268970425103,21936.902858238293,0.0028588960008697492,0,0.2193359375,,
83.83196049999985,1167,,,,-0.02880859375,0.012109375,-0.9771484375,0.20442045549666982,0.08939837907464711,19.94712840945802,-0.005978128395121957,2980,1490,0.11924699565393174,31.902057856799324,28113.75347699348,0.0028022841500152246,0,0.17724609375,,
86.72837749999984,1171.9000000000003,,,,-0.02705078125,0.0154296875,-0.97734375,0.20438586104812234,0.08988453010248157,19.946020478831034,-0.007934649247136157,3029,1515,0.15826489837364033,32.41544179190408,21209.57085313769,0.002772892546589386,0,0.15283203125,,
89.61678599999989,1176.7999999999997,,,,-0.03271484375,0.00810546875,-0.97421875,0.2043726346988358,0.08930496763539941,19.944287165724553,-0.007067648106192717,3112,1556,0.1409593028481869,33.3014063957425,24106.064730645372,0.0026817169043855944,0,0.1154296875,,
92.57363024999984,1181.7000000000003,,,,-0.0259765625,0.010546875,-0.97412109375,0.20439607128039436,0.08935183687474049,19.942712427494715,-0.00727120569303496,3159,1579,0.1450075503657516,33.80652767212816,23558.58912577232,0.0026430308930821657,0,0.11015625,,
95.51531724999988,1186.5999999999997,,,,-0.0326171875,0.01357421875,-0.980078125,0.2042793651204859,0.08978330508815793,19.941281865532943,-0.008418622489366074,3217,1609,0.1678780185891606,34.41951228270339,21163.474838090136,0.002608502503832795,0,0.101953125,,
98.41359099999985,1191.5,,,,-0.02783203125,0.01103515625,-0.9734375,0.20429043509797745,0.08927944525330497,19.939722932846827,-0.00692476779859372,3258,1629,0.13807796120632526,34.8516171131091,25788.32774316515,0.0025617026211091306,0,0.1205078125,,
101.3180089999999,1196.4000000000003,,,,-0.03369140625,0.01220703125,-0.977734375,0.20436352777933237,0.08880815151240275,19.93877564649886,-0.0075922744327075855,3318,1659,0.15138056716745035,35.497043537747125,24003.719368333095,0.0025018475856449026,0,0.10263671875,,
104.20616999999984,1201.2999999999997,,,,-0.0291015625,0.0134765625,-0.975,0.20422607129146986,0.08963933314830055,19.93648317724537,-0.007395485572599936,3380,1690,0.1474400098816317,36.15177862780418,24883.5579702434,0.0024795341859374974,0,0.12158203125,,
