Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
230.77769875000018,1385,,,,-0.0291015625,-0.00888671875,-0.94736328125,-0.035681749383780215,-0.2078506114174174,19.367792613063237,-0.04148802320938223,15906,2648,0.8035312757016904,9.89375186092422,1231.8175950681793,0.0210111688201689,0.25883609783176587,0.34150390625,,
233.88299900000007,1390,,,,-0.039453125,0.0134765625,-0.96875,-0.036087590142499196,-0.2118126778480701,19.363619021747493,-0.040711583529330984,16057,2670,0.7883231871271242,10.089689946777558,1281.1076966032795,0.020993577280363863,0.26892122389167705,0.41591796875,,
237.09288200000015,1395,,,,-0.0248046875,0.01640625,-0.9736328125,-0.037878118531804686,-0.219426845802692,19.35944173744877,-0.04001039931502829,16071,2683,0.7745791721030386,10.640520671482124,1375.4809264240373,0.02062285388328932,0.2836210452231807,0.48408203125,,
240.3505505,1400,,,,-0.05322265625,0.01005859375,-0.9744140625,-0.0383251950185791,-0.22468736910177758,19.35351756872131,-0.04000180646567303,16243,2703,0.7741763927774146,10.850112725986829,1403.5050630080164,0.020713311440087638,0.2906887103714954,0.74462890625,,
243.57147375000005,1405,,,,-0.048828125,0.01376953125,-0.97099609375,-0.03943680076934749,-0.22796372856067917,19.34689786961897,-0.04117743620733333,16474,2747,0.796655681278353,11.34632664885308,1424.9352997201345,0.020095690555130476,0.28628304144607497,1.457421875,,
246.82519274999996,1410,,,,-0.0322265625,0.01044921875,-0.9697265625,-0.039141839921632046,-0.2312859944466176,19.346841483764067,-0.04153172529773543,16632,2771,0.803507711457458,11.357993295943777,1414.189385016372,0.020365341523057093,0.28798905466210356,1.6169921875,,
250.09991200000005,1415,,,,-0.07041015625,0.016796875,-0.95908203125,-0.04029968237767212,-0.22957898909008762,19.34555482304865,-0.040901824544388135,16423,2793,0.7912682370642574,11.785401109015726,1490.651728854122,0.019480494722391543,0.2904039313486536,1.47275390625,,
253.2437650000001,1420,,,,-0.034765625,0.00390625,-0.9724609375,-0.04020045961581971,-0.23580649842232887,19.34466364475258,-0.04165154701919059,16007,2821,0.8057355711294545,11.875727435397522,1475.599947006925,0.019857452079875805,0.2929629016514964,1.21201171875,,
256.29542375000017,1425,,,,-0.03173828125,0.01787109375,-0.97578125,-0.04219373474114196,-0.2410997945169112,19.337620397764987,-0.04025759666535904,15587,2860,0.778485915647556,12.63602374077485,1623.86510188473,0.01908118515181805,0.3098214365783981,0.67900390625,,
259.34940150000006,1430,,,,-0.046875,0.02265625,-0.97783203125,-0.04242132562666539,-0.2456358356168058,19.333203231838244,-0.04197978082287247,15587,2884,0.8116036780269249,12.81157828687717,1578.8598545075479,0.019173073395422978,0.3027158442136187,0.36435546875,,
